,ID,ID3O,Complexity,Tourney
0,"[0.1574119595020924, 0]","[0.1316706270005642, 9, 0.0]","[0.11834977378222511, 19]",[0.11737367089242823]
1,7.27092675269403*x10*(sqrt(x11) + 9.86960440108936) + 43.6255605161642*x11 + 7.27092675269403*x6 - 12324.8607002455,2026.77005683309 + 1.63328578984829e-6*x4**2*(x1 + x6)**2/sqrt(x14),4.55937475182491e-12*x11**(1/4)*x4**(9/2)*(x11 + x6)**2*sqrt(1/x8) + 2715.98025235679,7.27453792054686e-12*x11**(1/4)*sqrt(x4)*x6**2*(x4 + x8*sqrt(exp(sqrt(exp(1/sqrt(exp(x0**2)))))))**4/x8 + 7.27453792054686e-12*x12 - 7.27453792054686e-12*sqrt(x14) - 7.27453792054686e-12*(x6 + x7)**4 + 2160.56488083882
2,0.19883414558160173,0.1401312459237115,0.14495197946351113,0.15441150419928718
3,24350.711975620397,19443.19723956865,19194.81604773036,19645.766651440685
