,ID,ID3O,Complexity,Tourney
0,"[0.1989987507904306, 0.0]","[0.14984616032600884, 10, 0.0]","[0.1539467840356984, 11]",[0.12812411444238525]
1,0.279193957765108*(0.156708264416821*x1 + 0.0783541322084107*x6 + x8)**2 - 1939.09557970897,2.39855802319148e-8*x4**4*x6*sqrt(x10 + x11) - 398.372703866966,4.93775867253244e-11*x4**4*(x11*(x8 + 2.71828182845905) + x6)**2 + 2143.07544875181,1.21852317648107e-11*x4**4*(x1 + x11*x8**2 + 2*x11 + 2*x2 + x6)**2*exp(-x3/x2)*exp(0.225340627787631*((x10**2*x12**4)**(1/4)*exp(-1/x3))**(1/4)) + 2580.45204733689
2,0.12585627300185243,0.1126608631145335,0.1017867420037859,0.18948608622843532
3,17916.149971543975,15812.268758976874,15092.521652763158,20399.736731611472
