,ID,ID3O,Complexity,Tourney
0,"[0.1867392707822063, 0]","[0.1466098620971341, 11, 0.33333333333333326]","[0.135409740136065, 22]",[0.11748234342498654]
1,0.00196949085702292*x3 + 0.00196949085702292*(x3 + x6)**2 - 2565.90686997733 - 0.00196949085702292*exp(-0.127089630515846*(x2 + 51.4198495415958*x4*x6**2*(0.13945516351434*x0 + 0.13945516351434*x10 - 0.13945516351434*x13 + 0.13945516351434*x2 - 0.13945516351434*x5 + 1 + 0.13945516351434/x0)**2/x14)/(sqrt(x6)*x9)),8.60857490158895e-11*x4**4*(x13**2 - x6)**2 + 5338.66737248459,7.66226412970394e-9*(x11 + x4**2*(6.03527390363893*x13*(0.407053513375458*x8 + 1)**2 - x6))**2/sqrt(x12 - x4 + x5) + 5207.44583211727,7.71441823635383e-8*x12 - 3.09073427737924e-8*x13 - 3.09073427737924e-8*x2 + 1.09044130521173e-7*x4*sqrt(sqrt(x2**7*x4**2*(x4*(x1 + 1.64872127070013*sqrt(x10)*x11 + x6 - 2.23320869739958) - x9)**8/(x12**2*x14**3*x5**6*x9))/sqrt(x9))/sqrt(x9) + 4190.60561277046
2,0.15499631413164516,0.09644869388612765,0.13725563806800656,0.15940316617977113
3,16360.421967795139,12612.586028444577,15271.907125569653,16140.068216986918
