,ID,ID3O,Complexity,Tourney
0,"[0.21684593002592123, 0.0]","[0.15081991485559532, 9, 0.0]","[0.14057049081499018, 15]",[0.11590166764363774]
1,0.000179177546532187*x11*x2**2*x4 - 68.4889212425398,-1056.26178007866 + 0.513795746230287*sqrt(x6)*(x10 + x2)**2/x13,1986.93868661403 + 0.00659576555366111*x2**2*(x10*x11 + x6)/x13,4641.27524054809 + 5.8803462906554e-5*(x0 + x10 + 2*x12 + x2*(10.469413823057*x2*x4*(x7 + sqrt((x2 + 2.71828182845905)*(2.71828182845905*sqrt(x1*x10**2*x11**2*x2*x4*(x13 - 0.367879441171442*x2)**2/sqrt(1/x10)) + 2.71828182845905)) + 1.87622942462193) + 10.469413823057*x2 + 3.80019638885232)/x13)/x3
2,0.268439710478134,0.16805311696288672,0.1372514233145803,0.17927275408353494
3,28173.510886609612,22372.148665553384,20099.697558701315,21981.795300487996
