,ID,ID3O,Complexity,Tourney
0,"[0.16729028628700626, 0.33333333333333326]","[0.11302109436238283, 13, 0.0]","[0.10828110775111255, 14]",[0.09342871278152898]
1,-1690.65756438329 + 1.25384488436503*(0.00663645028801874*x6**2 + 180.195468533962 + x1**(-4))/sqrt(sqrt(x14) + x8**2),2.66624852798307e-6*sqrt(x11)*x6**2*(1 - 0.0529768926929454*x4)**4 + 4212.68312103173,2.25978590593854e-11*x2*x4**4*(x11 + 0.132406125402481*x6)**2 + 2956.00953275669,-8.3863101502478e-13*x2**4*x3*x4**4*(0.0411376089629029*x0*(x10 - x11 + 0.433085012315918*x11*(x0 + x14 + x8 + x9 + (sqrt(x10*x11 + 0.552019148162622) + 27.153253096221)/x10)/x0) - x10 - x11)/(0.654521034226203*x4 - 1)**2 + 4643.50809169646
2,0.1956060342534992,0.1467593668791195,0.16291703132047874,0.23214142675640426
3,22294.035661004287,19254.7270848641,20671.640581110845,25528.30831383376
