,ID,ID3O,Complexity,Tourney
0,"[0.23527302970903585, 0.0]","[0.1859778833102278, 9, 0.33333333333333326]","[0.14793080038737838, 26]",[0.15074157164585222]
1,-7.86283415891774*x13 + 7.86283415891774*x6 - 11671.4844130508 + 7.86283415891774*(x2**2 + x6)/x13,4074.60770302445 + 1.26273651899335e-9*x4**4*(x6 + x7)**2/x13,4629.02285409106 + 1.34501372933866e-10*x4**2*x8*(2*x1**2 + x6*(x2 + 2.46421100765009/(2.71828182845905 - x0)))**2/x13,1.16198540958349e-12*x2**2*x8*(-x13 + x4)**2*(x11 + x2 - 1.0980076847566)*(x1*sqrt(x10*(sqrt(x10) + 2.58330805618277e-6)**(1/4) + 0.476185013669632*x8) + 0.690061601358626*x2 + 0.690061601358626*x6)**2/sqrt(x3) + 5545.01770810051
2,0.12113379302832594,0.10244805846343141,0.1687867752697625,0.18017162243662732
3,17575.17836653626,15799.758928940651,19721.76987764355,21055.772766935897
