,ID,ID3O,Complexity,Tourney
0,"[0.18885923458682696, 0.6666666666666667]","[0.09796144907216553, 10, 0.6666666666666667]","[0.09731961322878158, 16]",[0.0959767665041249]
1,11.1986408657723*x6 - 16059.4611615091,1.29004369544038e-16*x4**8*(x11 + 0.117268780932098*x6)**2 + 3771.15891276659,-1.33698796953435e-16*x12 + 7.64588377163757e-15*x4**7*(x11 + 0.132236060890853*x6)**2 + 3283.89496341965,4633.25275054466 - 8.67696158820911e-9*x6**2*(x4 + x8**2)**2*(x5*(x13 + exp(exp(-0.106574488126536*x10))) - exp(sqrt(x4)))/x2
2,0.26960694641706096,0.31879316685943715,0.3113565290117507,0.3305097256781996
3,15114.604263053641,15892.511952535979,15779.061540288032,15988.000494403877
