,ID,ID3O,Complexity,Tourney
0,"[0.23670898672970453, 0]","[0.10822961607828807, 9, 0]","[0.1084436628575145, 32]",[0.09195767345177386]
1,1092.58039866065*sqrt(x6) - 1092.58039866065*sqrt(x9) - 40644.1952151639,6.9580060428773e-30*x11*x4**17 + 4841.22118979663,3725.80770326779 + 9.63911242227662e-15*x4**8*(-0.172553610658037*x11 - 0.172553610658037*x6 + 0.172553610658037*x9*(-1.00256084124716*x11 + 1.00256084124716*x14 + 1.00256084124716*x4 + 3.14963777363889) - 1)**2/x2,4.01541444862101e-18*x4**2*(0.0815926304265051*(x4**4 + 2020851.5161499)*(x11*sqrt(x8*(4.2297580188455*x10 + x2)/x9) + x6) - 1)**2/(-x2/x3**(1/4) + x3 - x2/x13**(1/4)) - 2.90910879872931e-22*x5 - 2.90910879872931e-22*x6 + 3881.58583724778
2,0.17624189985803806,0.3476687974601076,0.1919163677351654,0.20880155819980428
3,16102.66652852909,26507.63360735204,16923.068577931066,17915.979632442144
