,ID,ID3O,Complexity,Tourney
0,"[0.20867583901581277, 0.6666666666666667]","[0.14507828634302444, 13, 0.6666666666666667]","[0.14260991244897814, 13]",[0.12583610181041383]
1,10.9636057714474*x1 - 10.9636057714474*x2 + 10.9636057714474*x6 - 15781.8897853374,-1.5900321630327e-12*x4**4*x6**2*(x13 - x4 + x9) + 3954.7735135109,9.72559527488831e-13*x4**2*x6**2*(-x13**2 + x4**2)**2/x5 + 4274.80475167285,1.05686841360089e-8*x6*(-x4 + 0.9839646903877*x5 + 7542.01932539356*sqrt(sqrt(x10)*x11*x2**2*(-0.106874222497621*x4 + 0.213748444995242*x9 + 1)**8/(x14*sqrt(exp(sqrt(x5)))))) - 2.48056207049507e-8*sqrt(0.18152717095263*x11 + 0.18152717095263*x5 + 1) + 2933.21446338547
2,0.15952326516491167,0.08628215665046668,0.0887700754532128,0.08148450344690672
3,16021.16126881378,12073.95429647217,12071.208837378079,12492.307959845451
