,ID,ID3O,Complexity,Tourney
0,"[0.18819417411302242, 0]","[0.12818490091783108, 12, 0.6666666666666667]","[0.13205559303759795, 10]",[0.10138834125333085]
1,-0.159431923766942*x6*(-x4 + x9) - 13081.2779079523,2.72043953361399e-14*x4**4*x6**2*(-x13 + x4 + 0.0790828450358001)**2 + 5455.16782665444,3042.90403260141 + 4.12883244988013e-10*x6**2*(-x4 + x9)**4/sqrt(x13),2.7553362034055e-6*x4**4*(0.059946170396362*x1 - 0.059946170396362*x13 + 0.059946170396362*x4*(3.18743554513385*x1 - x13 + x6 + 3.18743554513385*x7 + x8**4) - 1)**2/sqrt(x13**2*x5**2*(x1 - x13**2 - x4 - x6)**2/x10) + 3950.51186677578
2,0.1274411322911888,0.15114992712217823,0.12583389253233423,0.21102214291681265
3,13541.645605461972,13986.26336828857,12813.278021455648,16520.188023381357
