,ID,ID3O,Complexity,Tourney
0,"[0.13223537183491907, 0.33333333333333326]","[0.11242018317348246, 9, 0.0]","[0.10087148245873434, 17]",[0.09915993223442932]
1,0.000160647509418328*sqrt(-0.00636837918219963*x1 + x2*x4**4*(x1 + x11 + x6)**2 - 0.00636837918219963*x3 - 0.0173110494077101) - 7264.90196345203,1.0429982603826e-9*x4**4*(x11 + 0.231869312918212*x6)**2 + 1984.48804452248,1.41360882091915e-8*x2*x4**3*sqrt(x10 + x11)*(17.5036288343536*x10 + x6) + 158.262743656997,1.29757277392371e-12*x2*x4**2*x6**2*(-x4 + 0.0255305130066431*(-x14 - x4 + 0.0391278521579255*(-x14 + sqrt(x10 + x11))**2)**2)**2/sqrt(x5) - 1.08894706619751e-13*x5 + 6128.23082444397
2,0.1998224491492221,0.1612221873963232,0.21107718010189858,0.1754811818685399
3,19634.464287651943,17574.565944309572,19848.963477063488,19195.29455997188
