,ID,ID3O,Complexity,Tourney
0,"[0.21016395673725852, 0]","[0.1710346077962165, 11, 0.0]","[0.17066766802735556, 13]",[0.14422037102318852]
1,-6.06619230041525*x10 + 93.1847769944843*x11 + 93.1847769944843*x3 + 93.1847769944843*x5 + 6.06619230041525*x7 - 23327.474563945 + 110.739111703612*x2*(1.33302981818027*x10 - 4.4223209201231)/x13,2.3975417241186e-11*x4**5*(x11 + 0.17459119879525*x6)**2 + 2475.58906295391,2.50545730119691e-9*x1 + 2856.94041486478 + 2.50545730119691e-9*x4**4*x6**2/(sqrt(x13)*sqrt(x5)),0.00831581483782554*x4**2*sqrt(x11*sqrt(x1 + x6))*(1.42181793746629e-5*x2*(-x10 + x13 - x4 + 2*x9)**2 + 1) + 1528.12338394138
2,0.21212618825137897,0.07127772921522413,0.08117492230922096,0.10767147609216388
3,22722.821233269544,12938.192918773477,13713.508560354789,16534.639617844987
