,ID,ID3O,Complexity,Tourney
0,"[0.11860447688181752, 0]","[0.12052488802431482, 11, 0]","[0.12104766771196807, 14]",[0.11987547720500735]
1,0.333567433106112*sqrt(-0.351862688767414*x0 - 0.351862688767414*x3**2 + (0.593180148662625*x0 + 0.593180148662625*x2 + x3 + 0.508938992154001*sqrt(x1*x3*(sqrt(x2) + x2)) + 0.593180148662625/(x0*x3/(2*x2 - 3.13523881951093 + 1/x1 - 24.2999565068399*x3/x0) + x2 + x3))**2) - 1.17817683398367,0.18278741740166*sqrt(x3)*(x2 + sqrt(x0*x1) + 3.14159265358979) - 0.730963781679962,0.316923917323846*sqrt(x2*x3*sqrt(x0*x1*(sqrt(x3) - 0.687584423051375))) + 0.692629877256156,2.60122870335559*(0.0231564718781333*x0 + 0.0231564718781333*x1 + 0.0417269942691715*x2 + 0.0602975166602097*x3 - 0.00877158409293232*(-x2 + x3)**2 + 1)**2 - 3.22708607357958
2,,0.1510769827992321,0.15683208205213905,
3,,6.805153868011858,6.969596409649585,
