,ID,ID3O,Complexity,Tourney
0,"[0.15888126196718777, 0.0]","[0.12426930944762449, 11, 0.0]","[0.12266598893689384, 11]",[0.10850506874289145]
1,9.91734634326714e-5*x2*x4**2*(x0 + x11 + x13 - x14 + x7 + 434.233497205236) - 15997.3891752289,1.72482196433945e-11*x4**5*(x11 + 0.214395744462795*x6)**2 + 2371.09335051206,5.68900395284652e-11*x4**4*(x1 + x11*x8 + x6)**2 + 1716.62740500126,2.2037000107716*sqrt(x5)*(x1 + 2.37521710492739e-11*sqrt(x11)*x2*x4*x6**(3/2)*(-x4 + sqrt(x12/x14 - x9))**2) + 450.116847862603
2,0.18962115289655168,0.13808940454795793,0.14436599999339395,0.17966839360174036
3,21364.91470372162,18122.093223695378,18597.465831206828,20855.53064822411
