,ID,ID3O,Complexity,Tourney
0,"[0.1499355824266505, 0]","[0.11438974504017263, 7, 0.0]","[0.09813910193395314, 17]",[0.08727029539920794]
1,0.00177418416700366*x6*(-x4 - x8)**2 - 9618.19342600141,4.59008951934898e-9*x4**4*x6**2/x5 + 1047.48883574434,2.65618664149701e-14*sqrt(x11)*x4**5*x6**2*exp(2*(x4 - 3.38418276973363)/x2) + 3518.58355281738,2.56140716816831e-12*sqrt(x11)*(0.228223049259653*x12 + x4**2*sqrt(0.052085760213374*x10 + 0.156257280640122*x3 + 0.052085760213374*x6 + (-x0 + x9)**2))**4/x3**2 + 2606.97282960585
2,0.21274947938050037,0.1997569915915176,0.22690859800164176,0.24099597217111435
3,18351.656067543987,17771.679635069842,19181.84980575611,20111.755535744083
