,ID,ID3O,Complexity,Tourney
0,"[0.18829902051261482, 0]","[0.14901136573863094, 12, 0.0]","[0.14256575591003273, 13]",[0.12852128957278364]
1,-0.00207120557428844*x11**2 + 0.00207120557428844*x6**2 - 1546.13544064611,8.49596273274742e-12*x4**(5/2)*(x1**2 + x4*x6)**2 + 1387.77360802119,9.64495380379742e-9*x4**4*(0.077378899184427*x1 + x11/x9 + 0.077378899184427*x6)**2 + 1251.97418499129,-4.86555156587509e-9*x4**2*sqrt(x2*(x4 - x6 + (-x0 + x1 + x6 + (-x0 + x1 + 2*x6**(1/8) + x9 + (54.4947486330965*sqrt(x11)*(-0.170463658371202*x1 - 0.0568212194570672*x6 + 0.0568212194570672*x9*(x14 + x4 + 25.6365594542758*x8 + 1.23216483239404) - 1)**2 + 2*x6)*exp(x7**(1/8)))*exp(x7**(1/8)))*exp(x10**(1/8))))*(x4 - x8)*(x9 - 28.0292959367333) - 398.596445012222
2,0.16180359964287938,0.15620472267366126,0.09811766774097763,0.12247581507868166
3,16644.65941783404,16790.294828254628,13030.587231552361,14684.930417019421
