,ID,ID3O,Complexity,Tourney
0,"[0.16781874006443598, 0]","[0.13399808200498708, 12, 0.33333333333333326]","[0.12646976946697286, 21]",[0.0982076769733018]
1,0.968703963948136*(x13 - 0.0472188461735577*x6)**2 + 2850.89815467205,1.45042137490472e-12*x4**3*x6**2*(-x13/2 + x4)**2 + 3512.8985921487,1.8232110265613e-9*x11 + 1.8232110265613e-9*x2*(x1 + x4**2)*(-x2*x4 + x4*(x1**2 + x2*x6)) - 2512.98233134665,7.42635557441996e-12*x4**2*(x11 + x2**3*(x6 + sqrt(x1*(x10 + sqrt(x0**2/x9)))*(x11 - 30.5707869276779)))*(sqrt(x4) + x5) + 1503.56467794625
2,0.1608357843579955,0.12682140804701758,0.3114623170592399,0.3330171983390021
3,16658.406076822204,14598.051325461416,23164.710306300807,24221.78261826887
