,ID,ID3O,Complexity,Tourney
0,"[0.14857585922348615, 0.0]","[0.13603174904530935, 8, 0.0]","[0.13386989968639196, 15]",[0.12242326902630596]
1,1.79859208110274e-5*x1*sqrt(x12) + 1.79859208110274e-5*x2*x6**2 + 123.217686395322,1.60147415285021e-5*x2*(2*x1 + x6)**2 - 672.724267691717,3.71512434003523e-7*x2*x6**2*(0.436578283523929*x13 - x4 + 0.436578283523929*x8**2)**2/x4 + 2341.49685162635,3.33071820016861e-5*(sqrt(x1) + x2)*(sqrt(x1) + sqrt(x2**2))*(0.726913154610323*x11/x8 + x4 + 0.0393711417024375*x6 - x9)**2 - 2157.82654374053
2,0.25303310106958965,0.24502652097627287,0.1769797012251928,0.23224244182132148
3,20949.77729608698,20791.219134473857,18039.700574091017,20918.778003926913
