,ID,ID3O,Complexity,Tourney
0,"[array(['pop', <function sqrd at 0x16fea8d30>,
       <function add at 0x16fea89d0>, <function sqrd at 0x16fea8d30>,
       <function add at 0x16fea89d0>, 'pop',
       <function sub at 0x16fea8a60>, <function add at 0x16fea89d0>,
       <function add at 0x16fea89d0>, 'pop',
       <function inv at 0x16fea8dc0>, <function inv at 0x16fea8dc0>,
       <function sub at 0x16fea8a60>, <function add at 0x16fea89d0>,
       'pop', <function sub at 0x16fea8a60>,
       <function add at 0x16fea89d0>, <function add at 0x16fea89d0>,
       <function inv at 0x16fea8dc0>, <function inv at 0x16fea8dc0>,
       <function sub at 0x16fea8a60>, 'pop',
       <function inv at 0x16fea8dc0>, <function sub at 0x16fea8a60>,
       <function add at 0x16fea89d0>, 'pop',
       <function sub at 0x16fea8a60>, <function add at 0x16fea89d0>,
       <function add at 0x16fea89d0>, <function inv at 0x16fea8dc0>,
       <function inv at 0x16fea8dc0>, <function sub at 0x16fea8a60>,
       <function add at 0x16fea89d0>, <function add at 0x16fea89d0>,
       <function sqrd at 0x16fea8d30>, <function add at 0x16fea89d0>,
       'pop', <function sqrd at 0x16fea8d30>,
       <function add at 0x16fea89d0>, 'pop',
       <function sqrd at 0x16fea8d30>, <function mult at 0x16fea8af0>,
       <function add at 0x16fea89d0>, 'pop',
       <function sqrd at 0x16fea8d30>, <function sqrd at 0x16fea8d30>,
       <function add at 0x16fea89d0>, 'pop',
       <function sqrd at 0x16fea8d30>, 'pop',
       <function sqrd at 0x16fea8d30>, <function add at 0x16fea89d0>,
       'pop', <function sqrd at 0x16fea8d30>,
       <function mult at 0x16fea8af0>, <function add at 0x16fea89d0>,
       'pop', <function sqrd at 0x16fea8d30>,
       <function sqrd at 0x16fea8d30>, <function add at 0x16fea89d0>,
       'pop', <function sqrd at 0x16fea8d30>,
       <function mult at 0x16fea8af0>, <function sub at 0x16fea8a60>,
       <function sub at 0x16fea8a60>, <function sub at 0x16fea8a60>,
       <function mult at 0x16fea8af0>, <function mult at 0x16fea8af0>,
       <function sub at 0x16fea8a60>, 'pop',
       <function protectDiv at 0x1075cbdc0>,
       <function mult at 0x16fea8af0>, 'pop',
       <function sub at 0x16fea8a60>, 'pop',
       <function sub at 0x16fea8a60>, <function mult at 0x16fea8af0>,
       <function add at 0x16fea89d0>], dtype=object), [3.8401201331125265, <function variableSelect.<locals>.<lambda> at 0x302edc5e0>, <function variableSelect.<locals>.<lambda> at 0x303b42310>, <function variableSelect.<locals>.<lambda> at 0x302f300d0>, <function variableSelect.<locals>.<lambda> at 0x303b428b0>, <function variableSelect.<locals>.<lambda> at 0x303b42310>, <function variableSelect.<locals>.<lambda> at 0x302f300d0>, <function variableSelect.<locals>.<lambda> at 0x303b42310>, <function variableSelect.<locals>.<lambda> at 0x303b32d30>, <function variableSelect.<locals>.<lambda> at 0x302f44af0>, <function variableSelect.<locals>.<lambda> at 0x303b42310>, <function variableSelect.<locals>.<lambda> at 0x302f300d0>, <function variableSelect.<locals>.<lambda> at 0x303b5f820>, <function variableSelect.<locals>.<lambda> at 0x303b42310>, <function variableSelect.<locals>.<lambda> at 0x302f300d0>, <function variableSelect.<locals>.<lambda> at 0x302f44af0>, <function variableSelect.<locals>.<lambda> at 0x303b42310>, <function variableSelect.<locals>.<lambda> at 0x302f300d0>, 0.5249861179505797, <function variableSelect.<locals>.<lambda> at 0x16007d0d0>, 24.879680110856697, <function variableSelect.<locals>.<lambda> at 0x302f01550>, <function variableSelect.<locals>.<lambda> at 0x302f49550>, <function variableSelect.<locals>.<lambda> at 0x302f01550>, <function variableSelect.<locals>.<lambda> at 0x302f01550>, <function variableSelect.<locals>.<lambda> at 0x302f01550>, <function variableSelect.<locals>.<lambda> at 0x303b42ee0>, <function variableSelect.<locals>.<lambda> at 0x302f01550>, <function variableSelect.<locals>.<lambda> at 0x302f01550>, <function variableSelect.<locals>.<lambda> at 0x302f49550>, -1.1329478032375226, -5.281723112518084, <function variableSelect.<locals>.<lambda> at 0x303b325e0>, <function variableSelect.<locals>.<lambda> at 0x302f49550>, <function variableSelect.<locals>.<lambda> at 0x302f30d30>, <function variableSelect.<locals>.<lambda> at 0x302edc940>, <function variableSelect.<locals>.<lambda> at 0x302f30820>, <function variableSelect.<locals>.<lambda> at 0x302f30280>, <function variableSelect.<locals>.<lambda> at 0x303b42e50>, <function variableSelect.<locals>.<lambda> at 0x303b42040>, 3e-14, 4763.774383836776], [0.0979425236778877, 103]]","[array(['pop', <function add at 0x16fea89d0>,
       <function add at 0x16fea89d0>, <function sqrd at 0x16fea8d30>,
       'pop', <function mult at 0x16fea8af0>,
       <function sqrd at 0x16fea8d30>, 'pop', 'pop',
       <function protectDiv at 0x1075cbdc0>, 'pop',
       <function mult at 0x16fea8af0>,
       <function protectDiv at 0x1075cbdc0>, 'pop',
       <function sqrd at 0x16fea8d30>, <function add at 0x16fea89d0>,
       <function mult at 0x16fea8af0>, <function add at 0x16fea89d0>],
      dtype=object), [<function variableSelect.<locals>.<lambda> at 0x302ee3040>, <function variableSelect.<locals>.<lambda> at 0x302f91670>, -8.632876632800656, <function variableSelect.<locals>.<lambda> at 0x303b69e50>, <function variableSelect.<locals>.<lambda> at 0x302f8f670>, <function variableSelect.<locals>.<lambda> at 0x302edcee0>, <function variableSelect.<locals>.<lambda> at 0x302ea6dc0>, <function variableSelect.<locals>.<lambda> at 0x302ea7160>, 1.19591e-09, 4425.900498301998], [0.10463432286204322, 22]]","[array(['pop', 'pop', <function sqrd at 0x16fea8d30>,
       <function mult at 0x16fea8af0>, 'pop',
       <function sqrd at 0x16fea8d30>, <function sqrd at 0x16fea8d30>,
       'pop', <function sqrd at 0x16fea8d30>,
       <function sub at 0x16fea8a60>, 'pop', 'pop',
       <function add at 0x16fea89d0>,
       <function protectDiv at 0x1075cbdc0>,
       <function mult at 0x16fea8af0>, <function mult at 0x16fea8af0>,
       <function add at 0x16fea89d0>], dtype=object), [<function variableSelect.<locals>.<lambda> at 0x303b69b80>, <function variableSelect.<locals>.<lambda> at 0x1600711f0>, <function variableSelect.<locals>.<lambda> at 0x1600000d0>, <function variableSelect.<locals>.<lambda> at 0x302f8fa60>, <function variableSelect.<locals>.<lambda> at 0x16007df70>, 9.790762134471692, 3.612e-11, 3670.2416655533166], [0.10534011454045544, 19]]","[array([<function sqrt at 0x16fea8ca0>, <function mult at 0x16fea8af0>,
       <function add at 0x16fea89d0>, <function mult at 0x16fea8af0>,
       <function sqrt at 0x16fea8ca0>, 'pop',
       <function mult at 0x16fea8af0>, <function sqrd at 0x16fea8d30>,
       <function sqrd at 0x16fea8d30>, <function sub at 0x16fea8a60>,
       'pop', <function protectDiv at 0x1075cbdc0>, 'pop', 'pop', 'pop',
       <function sqrd at 0x16fea8d30>, <function sub at 0x16fea8a60>,
       'pop', <function sub at 0x16fea8a60>,
       <function protectDiv at 0x1075cbdc0>,
       <function mult at 0x16fea8af0>, 'pop',
       <function sub at 0x16fea8a60>, <function mult at 0x16fea8af0>,
       <function add at 0x16fea89d0>], dtype=object), [<function variableSelect.<locals>.<lambda> at 0x16007da60>, <function variableSelect.<locals>.<lambda> at 0x16006caf0>, <function variableSelect.<locals>.<lambda> at 0x303b720d0>, <function variableSelect.<locals>.<lambda> at 0x302f8f700>, <function variableSelect.<locals>.<lambda> at 0x302f8f700>, <function variableSelect.<locals>.<lambda> at 0x1600d9310>, <function variableSelect.<locals>.<lambda> at 0x16007dc10>, -16.864147320688048, <function variableSelect.<locals>.<lambda> at 0x160000dc0>, <function variableSelect.<locals>.<lambda> at 0x1600b1670>, <function variableSelect.<locals>.<lambda> at 0x160083280>, <function variableSelect.<locals>.<lambda> at 0x1600005e0>, -9.3e-13, 4031.0107647363448], [0.10233389383470937, 32]]"
1,-3.0e-14*x3 - 3.0e-14*x7 + 4763.77438383678 + 3.0e-14*x8*(x3*x4*(-x1 + x4**2*(4*x1**4 + x1 + x4**2*(x1**2 + 47288.8211015758*(-0.0045985483420843*x1 + 0.0367883867366744*x10 - 0.0229927417104215*x13 + 0.0045985483420843*x14 + 0.0045985483420843*x6 + (0.0678125972226717*x0 + 1)**2 + 0.00241417404231891 - 0.0045985483420843/x11)**2 + 24.8796801108567)) + 6.41467091575561) - x6)/x14,1.19591e-9*x6**2 + 4425.900498302 + 6.64233287731419e-6*x2*x6**2*(0.115836243529821*x4 + 0.115836243529821*x8 - 1)**4/(x14*x5),3.612e-11*x4*x6**2*(x4**4 - x5**2)/(x14 + 9.79076213447169) + 3670.24166555332,9.3e-13*x12 + 4031.01076473634 + 1.56836570082399e-11*(-x3 + x4**6*(sqrt(x10)*x2 + x6)**2)/(x14*(-x0 + x4 - x8**2))
2,0.1860553046555099,0.20967167484478977,0.1807593491160332,0.17530856306844567
3,19937.30942089869,21738.161276610368,19465.186485034705,19154.037932466894
