,ID,ID3O,Complexity,Tourney
0,0.34624088385081*x11 + 0.34624088385081*x12 + 0.34624088385081*x9 + 2058.72103644071 + 0.34624088385081*(-x4 + 1.64227229372565e-6*x6**2*(x10 + x5 - sqrt(x7))*(x13/2 - x4 + x9/2)**4/x5**2)/x4,9.43717760793059e-9*x4**2*(-x14/x4 + 1.35090896382888)*(0.146288981660589*x12 + 0.0731444908302946*x4*x6 - 0.0731444908302946*x9 + (x10 + 0.270452381816642*x11)**2)**2 + 3579.55422950706,1.04597983619675e-9*x4**4*(x11 + 0.23192000283159*x6)**2 + 1965.45270736902,0.00014603836068002*(0.0204617726072725*x0**2 + 0.0204617726072725*x1 + 0.0204617726072725*x10**2 + 0.0306926589109087*x10 + 0.0613853178218175*x11 + 0.0204617726072725*x2 + 0.040923545214545*x3 + 0.0102308863036362*x4**2 + 0.0102308863036362*x6 + 0.0102308863036362*x8**4 - 0.0102308863036362*(x13 - 0.0102430282974987)**2 - (0.101147843791335*x14 - 1)**2 - 0.236870519323582 - 0.0102308863036362/(x14 - 0.00412014792617895) + 0.0102308863036362/x0**2)**4 + 4695.04082206624
1,0.11673291215862358,0.12940450709206952,0.12783169623604407,0.13605176427292953
2,15284.861053952169,16014.060360203437,15869.633534967323,16599.329856186847
